,Tira orthography (singular form),Tira orthography (plural form),Tira orthography (singular object form),Tira orthography (plural object form),Translation equivalent,Have we recorded this one already?,In our database?,COMMENTS,Noun class (based on agreement),SG subject tone,SG subject form,Source for SG subject form,Transcription checked with recording?,Number of syllables of stem,PL subject form,Source for PL subject form,Transcription checked with recording?.1,SG object tone,SG object suffix,Stem tone change,Hiatus (stem-ACC),SG object form,Source for SG object form,Transcription checked with recording?.2,PL object form,Source for PL object form,Transcription checked with recording?.3,SG citation form,Source for SG citation form,Transcription checked with recording?.4,PL citation form,Source for PL citation form,Transcription checked with recording?.5,Gloss
212,lembrre,nembrre,lembrra,ngembrra,bedsheet,yes,in preparation for a Kwaras run,some variation in the properties of the rhotic,l/n,LH,lɛ̀mbré,HH20220326-4,yes,2,nɛ̀mbré,HH20220326-4,yes,L-H,a,no,yes,lə̀mbr-á,HH20220726-1,yes,ŋə̀mbr-á,HH20220726-1,yes,lɛ̀mbɹé,HH20211005,,,,,bedsheet
213,,,,,prison,yes,has gaps,,l/ŋ,LH,lɔ̀t̪ɔ́,HH20220809-1,yes,2,ŋɔ̀t̪ɔ́,HH20220809-1,yes,L-H,a,no,yes,lɔ̀t̪-á ~ lɔ̀t̪ɔ́,HH20230516,yes,,,,lɔ̀t̪ɔ̀,HH20220809-1,yes,ŋɔ̀t̪ɔ̀,HH20220809-1,yes,prison
214,lemea,ngemea,lema,ngema,chin,yes,,,l/ŋ,LH,lɛ̀mɛ́,HH20230414,yes,2,ŋɛ̀mɛ́,HH20230414,yes,L-H,a,no,yes,lɛ̀m-á,HH20230414,yes,ŋɛ̀m-á,HH20230414,yes,s,,,,,,chin
215,zmahza,no number distinction,zmahza,no number distinction,curse,yes,in preparation for a Kwaras run,,ð,LH,ðə̀máɽ,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,HH-H,ða,no? (is NOM form HH + upsweep?),no,ðə́máɽ-ðá,HH020220726-1,yes,no number distinction,,,márðó,HH20210913,,,,,curse
216,ilez,nilez,ileze,nileze,hoe,yes,check eaf file status,,k/n,LH,ɪ̀lɛ́θ ~ ɪ̀lɛ́ð,HH20201111,yes,2,nìlɛ́ð,HH20230703,yes,LH-H,ɛ,no,no,ɪ̀lɛ́ð-ɛ́,HH20220220-1,yes,,,,ìl:ɛ́ð,HH20210409,,nɪ̀lɛ́ð,HH20201125,,hoe
217,nguder ?,,,,sleep,yes,check eaf file status,,ŋ,LH,ŋùðɛ́r,HH20220227-1,yes,2,no number distinction,,,LH-H,ɛ,no,no,ŋùðɛ́ɾ-ɛ́,HH20230516,yes,,,,,,,,,,sleep
218,zohar ,yohar,zohare,yohare,tiger,yes,in preparation for a Kwaras run,variation between j and r in the plural (ròɽár: HH20200902),ð/j,LH,ðɔ̀ɽár ,HH20220326-5,yes,2,jɔ̀ɽár ,HH20220326-5,yes,LH-H,ɛ,no,no,ðòɽáɾ-ɛ́,HH20220828,yes,jùɽáɾɛ́,HH20220828,yes,ðòɽár,HH20200902,,ròɽár,HH20200902,,tiger
219,aur,naurr,aure,naurre,door,yes,in preparation for a Kwaras run,also ɜ̀úɾ/nɜ̀úɾ (HH20220206-2),j/n,LH,àúr,HH20220326-5,yes,1 or 2,nàúr ,HH20220326-5,yes,LH-H,ɛ,no,no,àúɾ-ɛ́,HH20220828,yes,nàúɾɛ́,HH20220828,yes,,,,,,,door
220,ayen,nayen,ayene,nayene,"hill, mountain, country",yes,in preparation for a Kwaras run,recheck forms,j/n,LH,àjén ,HH20220326-5,yes,2,nàjén,HH20220326-5,yes,LL-H,ɛ,yes (LH->L),no,àjèn-ɛ́,HH20220828,yes,nàjèné,HH20220828,yes,àjɛ̀n,< HH08072020:25:48.9 >,yes,,,,hill/mountain/country
221,Ayin,no number distinction,ayine,no number distinction,Earth,yes,in preparation for a Kwaras run,Same as/similar to country (but spelled differently),j/n,LH,àjín ,HH20220326-5,yes,2,no number distinction,HH20220326-5,yes,LL-H,ɛ,yes (LH->L),no,àjèn-ɛ́,HH20220828,yes,no number distinction,,,ajɛn,HH20211012,,,,,Earth
