,Tira orthography (singular form),Tira orthography (plural form),Tira orthography (singular object form),Tira orthography (plural object form),Translation equivalent,Have we recorded this one already?,In our database?,COMMENTS,Noun class (based on agreement),SG subject tone,SG subject form,Source for SG subject form,Transcription checked with recording?,Number of syllables of stem,PL subject form,Source for PL subject form,Transcription checked with recording?.1,SG object tone,SG object suffix,Stem tone change,Hiatus (stem-ACC),SG object form,Source for SG object form,Transcription checked with recording?.2,PL object form,Source for PL object form,Transcription checked with recording?.3,SG citation form,Source for SG citation form,Transcription checked with recording?.4,PL citation form,Source for PL citation form,Transcription checked with recording?.5,Gloss
323,ahanggarr,nahanggarr,ahanggarr,nahanggarr,bed,yes,yes,,j/n,LLH,àɽàŋgár,< HH20211005:02:11.9 >,yes,3,nàɽàŋgár,< HH20211005:18:09.4 >,yes,LLH,Ø,no,N.A.,àɽàŋgár,< HH20211005:18:32.5 >,yes,nàɽàŋgár,< HH20211005:18:59.0 >,yes,àɽàŋgár,< HH20211005:10:06.3 >,yes,nàɽàŋgàr,HH20211005,,bed
324,ittilo,nittilo,ittilo,nittilo,year,yes,in preparation for a Kwaras run,,k/n,LLH,ìt̪ə̀lɔ́,HH20220326-3,yes,3,n̪ìt̪ə̀lɔ́,HH20220326-3,yes,LLH,Ø,no,N.A.,ìt̪ìlɔ́,HH20220719-2,yes,nìt̪ìlɔ́,HH20220719-2,yes,itəlo,HH20210630,,,,,year
325,lurio,ngurio,lurio,ngurio,cucumber,yes,in preparation for a Kwaras run,,l/ŋ,LLH,lùɾìjɔ́,HH20220326-3,yes,3,ŋùɾìjɔ́,HH20220326-3,yes,LLH,Ø,no,N.A.,lùɾìjɔ́,HH20220726-1,yes,ŋùɾìjɔ́,HH20220726-1,yes,,,,,,,cucumber
326,zenggla,rrenggla,,,tongue,yes,in preparation for a Kwaras run,,ð/r,LLH,ðə̀ŋɡə̀lá,HH20230414-Zoom-3,yes,3,rə̀ŋɡə̀lá,HH20230414-Zoom-3,yes,LLH,Ø,none,N.A.,ðə̀ŋɡə̀lá,HH20230414-Zoom-3,yes,rə̀ŋɡə̀lá,HH20230414-Zoom-3,yes,,,,,,,tongue
327,luhuvo,nguhuvo,luhuvo,nguhuvo,jujube fruit ,yes,check eaf file status,"(see also ""luhbi""; regional variation)",l/ŋ,LLH,lùɽùvɔ́,HH20230608,yes,3,ŋùɽùvɔ́,HH20200910,yes,LLH,Ø,none,N.A.,lùɽùvɔ́,HH20200910,yes,ŋùɽùvɔ́,HH20200910,yes,luɽwavɔ,HH20200910,,ŋuɽuvɔ,HH20200910,,jujube.fruit 
328,ngembhu,nyembhu,ngembhu,nyembhu,calf,yes,in preparation for a Kwaras run,,ŋ/ɲ,LLH,ŋʊ̀mbòɽó,HH20220326-3,yes,3,ɲʊ̀mbòɽó,HH20220326-3,yes,LHH,Ø,yes (recheck tone and vowel transcriptions),N.A.,ŋʊ̀mbə́ɽó,HH20220726-1,yes,ɲʊ̀mbə́ɽó,HH20220726-1,yes,,,,,,,calf
329,avejege,navejege,avejege,navejege,"mat, rug",yes,in preparation for a Kwaras run,,j/n,LLH,àvdʒìgɛ́,HH20220326-2,yes,3,nàvdʒìgɛ́,HH20220326-2,yes,LLH,Ø,no,no,àvdʒìgɛ́,HH20220719-2,yes,nàvdʒìgɛ́,HH20220719-2,yes,avɛdʒɛɡɛ,HH20220220-2,,,,,mat/rug
330,ngezini,ngezini,ngezino,ngezino,"rabbit, hare",yes,in preparation for a Kwaras run,,ŋ/ɲ,LLH,ŋìðɛ̀ní,HH20220326-2,yes,3,ɲìðɛ̀ní,HH20220326-2,yes,LL-H,ɔ,no,yes,ŋìðɛ̀n-ɔ́,HH20220714,yes,ɲìðɛ̀n-ɔ́,HH20220714,yes,ŋiðəni,HH20201007,,ŋiðeŋi,HH20201007,,rabbit/hare
331,zengerro,engerro,zengerra,engerra,story,yes,in preparation for a Kwaras run,,ð/j,LLL,ðə̀ŋɛ̀ɾɔ̀,HH020220726-1,yes,3,èŋɛ̀ɾɔ̀,HH020220726-1,yes,LL-L,a,no,yes,ðə̀ŋɛ̀ɾ-à,HH020220726-1,yes,èŋɛ̀ɾà,HH020220726-1,yes,,,,,,,story
332,zomoco,romocco,zomoca,romocca,man/male,yes,has gaps,,ð/r,LLL,ðɔ̀mɔ̀tʃɔ̀,HH20211011,yes,3,rɔ̀mɔ̀tʃɔ̀,HH20211011,yes,LL-L,a,no,yes,ðɔ̀mɔ̀tʃ-à,HH20211011,yes,rɔ̀mɔ̀tʃà,HH20211011,yes,"ðɔ̀mɔ̀tʃɔ̀, ðɔ̀mɔ̀cɔ̀",< HH02262021:03:49.6 >,yes,,,,man/male
333,evarttu,levarttu,evarrta,levarrta,teacher,yes,in preparation for a Kwaras run,,k/l,LLL,ɛ̀vàɾtɔ̀,HH20211130,yes,3,lɛ̀vàɾt̪ɔ̀,HH20211130,yes,LL-L,a,no,yes,ɛ̀vàɾt̪-à ,HH20211130,yes,,,,,,,,,,teacher
334,,,ngvavri,,bicycle,yes,,,l/,LLL,lə̀vàvɾì,HH20220708-1,yes,3,ŋə̀vàvɾì,HH20230703,yes,LL-L,a,no,yes,lə̀vàvɾ-à,HH20220708-1,yes,,,,,,,,,,bicycle
335,addohol,xddohol,addohole,xddohole,tortoise,yes,in preparation for a Kwaras run,,j/e??,LLL,àdə̀ɽɔ̀l,HH20220326-5,yes,3,èdə̀ɽɔ̀l ,HH20220326-5,yes,HHH-H,ɛ,yes (L->H),no,ádə́ɽɔ́l-ɛ́,HH20220828,yes,édə́ɽɔ́lɛ́,HH20220828,yes,,,,SG = Plural,HH20210804,,tortoise
336,avala,navala,avala,navala,cat,yes,yes,,k/n,LLL,àvàlà,< HH20211012:01:48.0 >,yes,3,nàvlà,< HH20211012:10:19.4 >,yes,LLL,Ø,no,N.A.,àvàlà,< HH20211012:02:32.2 >,yes,nàvlà,< HH20211012:02:54.8 >,yes,"àvàlà, ɛ̀vàlà",< HH20211012:01:48.0 >,yes,nàvlá,< HH20211012:00:38.0 >,yes,cat
337,ngiricoco,,no number distinction,,"notes, study, learning",yes,check eaf file status,see also 'student'; compare to infinitive of 'learn/teach',ŋ,LLL,ŋìɾtʃɔ̀tʃɔ̀,HH20220227-1,yes,3,no number distinction,,,LLLL,Ø,no,N.A.,ŋìɾtʃɔ̀tʃɔ̀,HH20230516,yes,no number distinction,,,,,,,,,learning
338,elaha,neleha,elaha,nelaha,farmer,yes,in preparation for a Kwaras run,,k/n,LLL,ɛ̀làɽà,HH20220326-2,yes,3,nɛ̀làɽà,HH20220326-2,yes,LLL,Ø,no,N.A.,ɛ̀làɽà,HH20220719-2,yes,nɛ̀làɽà,HH20220719-2,yes,alaɽa,HH20200902,,,,,farmer
339,ingino,lingino,ingino,lingino,sibling,yes,in preparation for a Kwaras run,,k/l,LLL,ìlŋìnɔ̀,HH20220326-3,yes,3,lìŋìnɔ̀,HH20220326-3,yes,LLL,Ø,no,N.A.,ìlŋìnɔ̀,HH20220719-2,yes,lìŋìnɔ̀,HH20220719-2,yes,,,,,,,sibling
340,lavarra,ngavarra,lavarra,ngavarra,stick,yes,in preparation for a Kwaras run,,l/ŋ,LLL,làvàrà,HH20220326-3,yes,3,ŋàvàrà,HH20220326-3,yes,LLL,Ø,no,N.A.,lə̀vàrà,HH20220719-2,yes,ŋə̀vàrà,HH20220719-2,yes,lə̀vràː,< HH08212020-2:16:17.6 >,yes,ŋə̀vrà,< HH08212020-2:16:35.9 >,yes,stick
341,ohatta,no number distinction,ohatta,no number distinction,light,yes,in preparation for a Kwaras run,,j,LLL,ɔ̀ɽàt̪à,HH20220326-4,yes,3,no number distinction,HH20220326-4,yes,LLL,Ø,no,N.A.,ɔ̀ɽàt̪à,HH20220726-1,yes,no number distinction,,,,,,,,,light
342,uhuwo,lutuwo,uhuwo,lutuwo,"bird sp.; spirit, dream",yes,in preparation for a Kwaras run,,k/l,LLL,ùɽùwɔ̀,HH20220326-4,yes,3,lùʈùwɔ̀,HH20220326-4,yes,LLL,Ø,no,N.A.,ùɽùwɔ̀,HH20220726-1,yes,lùʈùwɔ̀,HH20220726-9,yes,,,,,,,bird.sp./spirit/dream
343,zelnga,yelnga,zelnga,yelnga,song (plural also means music),yes,check eaf file status,Compare to infinitive of 'sing',ð/j,LLL,ðə̀lə̀ŋà,HH20230619,yes,3,ɛ̀lə̀ŋà,HH20230619,yes,LLL,Ø,no,N.A.,ðə̀lə̀ŋà,HH20230619,yes,ɛ̀lə̀ŋà,HH20230619,yes,,,,,,,song/music
344,zedehi,edehi,zedeho,edeho,"herb, root",yes,in preparation for a Kwaras run,some confusion about what is SG and what is PL,ð/j (or k??),LLL,ðə̀ðɛ̀ɽì,HH20220227-1,yes,3,èdɛ̀ɽì,HH20220326-2,yes,LL-L,ɔ,no,yes,ðə̀ðɔ̀ɽ-ɔ̀,HH20230414,yes,èdɔ̀ɽ-ɔ̀,HH20220714,yes,ðədɜɽi,HH20201104,,,,,herb/root
345,iricoco,liricoco,iricoco,liricoco,student (previously 'teacher' too; not anymore),yes,check eaf file status,see also 'notes',k/l,LLLL,ìɾìtʃɔ̀tʃɔ̀,HH20220227-1,yes,4,lìɾtʃɔ̀tʃɔ̀ ,HH20220227-1,yes,LLLL,Ø,no,N.A.,ìɾtʃɔ̀tʃɔ̀,HH20230516,yes,lìrtʃɛ̀tʃɔ̀,,,,,,liɾitʃɔtʃɔ,,,student
346,ozengena,nozengena ,ozengena,nozengena,hippo,yes,check eaf file status,,k/n,LLLL,ɔ̀ðə̀ŋɪ̀nà,HH20210611,yes,4,nɔ̀ðɛ̀ŋìnà,HH20230703,yes,,,,,ɔ̀ðə̀ŋɪ̀nà,HH20210611,,,,,ɔ̀ðə̀ŋɪ̀nà,HH20210611,,,,,hippo
347,irriyo,ndrriyo,irriyo,ndrriyo,knee,yes,,,,,ìrìjɔ́,HH20221206,,3,ǹdrìjɔ́,HH20221206,no,,,,,ìrìjɔ́,HH20221206,,,,,,,,,,,knee
348,zeboho,rreboho,zeboho,rreboho,thread,yes,,,,,ðə̀bɔ́ɽɔ́,HH20230420-4??,,3,rə̀bɔ́ɽɔ́,HH20230420-4??,,LHH,,,,ðə̀bɔ́ɽɔ́,HH20230420-4??,,rə̀bɔ́ɽɔ́,HH20230420-4??,,,,,,,,thread
