nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class
ìmbɽá,ɲìmbɽá,ìmbə̀ɽá,,feather,feather,k/ɲ
àlú,,àlú,,place,place,j
àlbríð,nàlbríð,àlbɾíðɔ́,,"mat, rug (Arabic loan)",mat/rug,j
ʊ̀mí,nʊ̀mí,ʊ̀mɔ́,nʊ̀mɔ́,bell,bell,k/n
lùɽbí,ŋùɽbí ŋùɽví,lùɽbɔ́,ŋùɽbɔ́,jujube fruit,jujube.fruit,l/ŋ
ɔ̀mnɛ́,nɔ̀mnɛ́,ɔ̀mná,nɔ̀mná,enemy,enemy,k/n
ŋ̀rím,,ŋə̀ɾímɛ́,,darkness,darkness,ŋ
ŋə̀mt̪ɛ́ɾɛ́,,ŋə́mt̪ɛ́ɾá,,frollicking,frollicking,ŋ
lùbút̪ú,ŋùbút̪ú,lúbútɛ́,ŋúbútɛ́,bird (dove),dove,l/ŋ
ùlíŋgɛ́,,ùlíŋgɛ́,,night,night,k
ðə̀láɽá,,ðə́láɽá,,plough (infinitive?),plough,ð
sɔ̀ɽíŋgɔ́,,sɔ̀ɽíŋgɔ́,,donkey (diminutive),donkey.DIM,s
ŋɔ̀ɽíŋgɔ́,ɲàɽíŋgó,ŋɔ̀ɽíŋgɔ́,ɲàɽíŋgó,donkey,donkey,ŋ/ɲ
àlkúrcì,,àlkúɾcɛ́,,money,money,j
ŋ̀cɔ́lɔ̀,nìcɔ́lɔ̀,ŋìcɔ́lɔ̀,nìcɔ́lɔ̀,brown squirrel,brown.squirrel,ŋ/n
ðɜ̀ríbì,jàríbì,ðɜ̀ríbɔ̀,,pen (for animals),animal.pen,ð/j
àlmúndù,nàlmúndù,àlmúnd̪ɔ̀,nàlmúnd̪ɔ̀,gun,gun,j/n
ðàŋàl,jàŋàl,ðàŋàlà,jàŋàlà,sheep,sheep,ð/j
àɾò,làɾò,òɾà,lòɾà,"brother, sibling",sibling,k/l
lɔ̀ɲɔ̀,ŋɔ̀ɲɔ̀,lɔ̀ɲà,ŋɔ̀ɲa,mouth,mouth,l/ŋ
ðùpì,jùpì,ðùpà,,pen,pen,ð/j
lɔ̀ɲɔ̀,ŋɔ̀ɲɔ̀,lɔ̀ɲà,ŋɔ̀ɲà,top,top,l/ŋ
tòsò,ŋʊ̀tòsò,tòsà,ŋʊ̀tòsà,palm of hand,palm.of.hand,l/ŋ
lòðì,ŋùðì,lòðà,ŋòðà,bone,bone,l/ŋ
ðɔ̀ndɔ̀,jɔ̀ndɔ̀,ðɔ̀ndà,,gourd,gourd,ð/
ŋə̀màð,,ŋə́máðɛ́,,friendship,friendship,ŋ
ùjɛ̀l,nùjɛ̀l,újə́lɛ́,,"shadow, photo",shadow/photo,k/n
lɔ̀ɽɟɛ̀n,ŋɔ̀rɟɛ̀n,lùɽɟénɛ́,ŋɔɽɟɛnɛ,"gourd, calabash",gourd/calabash,l/ŋ
ùɽɟɛ̀n,ŋùɽɟɛ̀n,ùɽɟɛ́nɛ́,ŋùɽɟɛ́nɛ́,"gourd, calabash",gourd/calabash,k/ŋ
ɛ̀là,nɛ̀là,ɛ̀là  ɛ̀lɛ̀,nɛ̀là  nɛ̀lɛ̀,gourd piece,gourd.piece,k/n
ɛ̀là,nɛ̀là,ɛ̀là  ɛ̀lɛ̀,nɛ̀là  nɛ̀lɛ̀,mushroom sp.,mushroom.sp.,k/n
nàì,,nàjì,,sweet potato,sweet.potato,n
ðə̀màn,rmàn,ðə̀mànɲà,rə̀mànɲà r̀mànɲà,"leg, foot",leg/foot,ð/r
dòɾè,ŋùdòɾè,dòɾèɲà,ŋùdòɾèɲà,mountain,mountain,l/ŋ
ɔ̀ɾì,,ɔ̀ɾì  ɔ́ɾíɲɛ́,,"water (lake, river, sea)",body.of.water,k
ðùɽì,ùɽì,ðùɽì,ùɽì,tree,tree,ð/k
ɜ̀nì,nɜ̀nì,ɜ̀nì,,ear/leaf,ear/leaf,k/n
ɛ̀bɛ̀,nɛ̀bɛ̀,ɛ̀bɛ̀,nɛ̀bɛ̀,gate made of bamboo,bamboo.gate,k/n
ùðɛ̀,nùðɛ̀,ùðɛ̀,,"gazelle, antelope",gazelle/antelope,k/n
ŋìà,,ŋìà,,beer,beer,ŋ
àŋnɔ̀,àŋnɔ̀,àŋnɔ̀,nàŋnò,body,body,j/n
àɽà,,àɽà,,first goat's milk/children,first.goat.milk/kid,k
ɛ̀ɾɛ̀ð ɛ̀ɾɛ̀ð,ndrɛ̀ð ndrɛ̀ð,ɛ̀ɾɛ̀ð,ndɾɛ̀ð,palm of hand,palm.of.hand,k/n
ìjɔ̀,nìjɔ̀,ìjɔ̀,nìjɔ̀,shepherd,shepherd,j/n
ìndò,,ìndɔ̀,,drum,drum,j
làɽà,ŋàɽà,làɽà,ŋàɽà,"candle, gum",candle/gum,l/ŋ
lɔ̀mɔ̀,ŋɔ̀mɔ̀,lɔ̀mɔ̀,ŋɔ̀mɔ̀,"food, bread",food/bread,l/ŋ
ðə̀rnà,èrnà,ðə̀rnà,èrnà,leather,leather,ð/j
ðràvì,,ðràvì,ðràvà,"water (sea, ocean)",sea/ocean.water,ð
ðùɽì,,ðùɽì,r̀ɽì,wood,wood,ð/k
ŋə̀mà,,ŋə̀mà,,"energy, power",energy/power,ŋ
ònì,nònì,ònì,nònì,basket (made of palm leaves & sticks),palm.leaf.basket,k/n
r̀ŋɔ̀,ìŋɔ̀,r̀ŋɔ̀,ìŋɔ̀,snake,snake,r/j
r̀ɽò,èɽò,r̀ɽò,èɽò,goat,goat,r/j
àɟà,,àɟà,,time,time,k
ðìjɔ̀,ìjɔ̀,ðìjɔ̀,ìjɔ̀,letter ,letter ,ð/j
èmàð,lə̀màð,ɛ̀màð,lə̀màð,friend (close),close.friend,k/l
ʊ̀mì,nʊ̀mì,òmì,nòmì,fish,fish,k/n
ùrnɔ̀,lùrnɔ̀,ùrnɔ̀,lùrnɔ̀,"grandfather, grandchild",grandfather/grandchild,k/l
ðùd̪ɔ̀  d̪ùd̪ɔ̀,,d̪ùd̪ɔ̀,,"floor, ground, dust, soil",ground,d
r̀ðɛ̀,ɛ̀ðɛ̀,r̀ðɛ̀,ɛ̀ðɛ̀,"meat, vegetable, animal (prey)",meat/vegetable/prey,r/j
ðàbà,jàbà,ðàbà,jàbà,star,star,ð/j
èðɔ̀ŋ,lə̀ðɔ̀ŋ,èðɔ̀ŋɔ̀,lə̀ðɔ̀ŋɔ̀,offspring,offspring,k/l
ðə̀cùl,,ðə̀cùlɔ̀,,Arabic language,Arabic.language,ð
ɽìt̪ì,ɲìt̪ì,ɽìt̪ɔ̀,,palm tree,palm.tree,s/ɲ
lə̀t̪ɾì,ŋə̀t̪ɾì,lə̀t̪ɾɔ̀,ŋə̀t̪ɾɔ̀,skirt (covers front and back),skirt,l/ŋ
ŋʊ̀cɔ̀,lʊ̀cɔ̀,ŋʊ̀cɔ̀,lʊ̀cɔ̀,badness/sin,badness/sin,ŋ
ðə̀gʊ̀bʊ̂l,gʊ̀bʊ̂l,ðə̀gʊ̀bʊ́lɔ̀,gʊ̀bʊ́lɔ̀,pumpkin,pumpkin,ð/k
àt̪ùɟâj,nàt̪ùɟáì,àt̪ùɟájɛ́,nàt̪ùɟájɛ́,bed strap,bed.strap,j/n
ðàlgàrâj,nàðàlgàrâj,ðàlgàrájɛ́,nàlðàlgarájɛ́,hyena,hyena,ð/n
èmàɽðɛ́n,lɛ̀màɽðén,ìmàɽðɛ́ná,lɛ̀màɽðɛ́ná,woman,woman,k/
èd̪ɛ̀ɾɛ́,lə̀d̪ɛ̀ɾɛ́,èd̪èɾá,,girl,girl,k/n
ùt̪ùlú,lùt̪ùlú,ùt̪ùlú ùt̪ùlá,lùt̪ùlá,spider,spider,k/l
àðə̀ɲɛ́n,,àðə̀ɲɛ́nɛ́,,sun,sun,j
òɽùwɛ́l,lòtùwɛ́l,òɽùwɛ́lɛ́,ltùwɛ́lɛ́,monkey,monkey,k/l
ìt̪ə̀ɾɔ́,lìt̪ə̀ɾɔ́,ìt̪rɛ́,lìt̪rɛ́,Tira person,Tira.person,k/l
àɽàŋgár,nàɽàŋgár,àɽàŋgár,nàɽàŋgár,bed,bed,j/n
ìt̪ə̀lɔ́,n̪ìt̪ə̀lɔ́,ìt̪ìlɔ́,nìt̪ìlɔ́,year,year,k/n
lùɾìjɔ́,ŋùɾìjɔ́,lùɾìjɔ́,ŋùɾìjɔ́,cucumber,cucumber,l/ŋ
ðə̀ŋgə̀lá,rə̀ŋgə̀lá,ðə̀ŋgə̀lá,rə̀ŋgə̀lá,tongue,tongue,ð/r
lùɽùvɔ́,ŋùɽùvɔ́,lùɽùvɔ́,ŋùɽùvɔ́,jujube fruit ,jujube.fruit ,l/ŋ
ŋʊ̀mbòɽó,ɲʊ̀mbòɽó,ŋʊ̀mbə́ɽó,ɲʊ̀mbə́ɽó,calf,calf,ŋ/ɲ
àvɟìgɛ́,nàvɟìgɛ́,àvɟìgɛ́,nàvɟìgɛ́,"mat, rug",mat/rug,j/n
ŋìðɛ̀ní,ɲìðɛ̀ní,ŋìðɛ̀nɔ́,ɲìðɛ̀nɔ́,"rabbit, hare",rabbit/hare,ŋ/ɲ
ðə̀ŋɛ̀ɾɔ̀,èŋɛ̀ɾɔ̀,ðə̀ŋɛ̀ɾà,èŋɛ̀ɾà,story,story,ð/j
ðɔ̀mɔ̀cɔ̀,rɔ̀mɔ̀cɔ̀,ðɔ̀mɔ̀cà,rɔ̀mɔ̀cà,man/male,man/male,ð/r
ɛ̀vàɾtɔ̀,lɛ̀vàɾt̪ɔ̀,ɛ̀vàɾt̪à,,teacher,teacher,k/l
lə̀vàvɾì,ŋə̀vàvɾì,lə̀vàvɾà,,bicycle,bicycle,l/
àdə̀ɽɔ̀l,èdə̀ɽɔ̀l,ádə́ɽɔ́lɛ́,édə́ɽɔ́lɛ́,tortoise,tortoise,j/e??
àvàlà,nàvlà,àvàlà,nàvlà,cat,cat,k/n
ŋìɾcɔ̀cɔ̀,,ŋìɾcɔ̀cɔ̀,,"notes, study, learning",learning,ŋ
ɛ̀làɽà,nɛ̀làɽà,ɛ̀làɽà,nɛ̀làɽà,farmer,farmer,k/n
ìlŋìnɔ̀,lìŋìnɔ̀,ìlŋìnɔ̀,lìŋìnɔ̀,sibling,sibling,k/l
làvàrà,ŋàvàrà,lə̀vàrà,ŋə̀vàrà,stick,stick,l/ŋ
ɔ̀ɽàt̪à,,ɔ̀ɽàt̪à,,light,light,j
ùɽùwɔ̀,lùtùwɔ̀,ùɽùwɔ̀,lùtùwɔ̀,"bird sp.; spirit, dream",bird.sp./spirit/dream,k/l
ðə̀lə̀ŋà,ɛ̀lə̀ŋà,ðə̀lə̀ŋà,ɛ̀lə̀ŋà,song (plural also means music),song/music,ð/j
ðə̀ðɛ̀ɽì,èdɛ̀ɽì,ðə̀ðɔ̀ɽɔ̀,èdɔ̀ɽɔ̀,"herb, root",herb/root,ð/j (or k??)
ìɾìcɔ̀cɔ̀,lìɾcɔ̀cɔ̀,ìɾcɔ̀cɔ̀,lìrcɛ̀cɔ̀,student (previously 'teacher' too; not anymore),student,k/l
ɔ̀ðə̀ŋɪ̀nà,nɔ̀ðɛ̀ŋìnà,ɔ̀ðə̀ŋɪ̀nà,,hippo,hippo,k/n
ìrìjɔ́,ǹdrìjɔ́,ìrìjɔ́,,knee,knee,
ðə̀bɔ́ɽɔ́,rə̀bɔ́ɽɔ́,ðə̀bɔ́ɽɔ́,rə̀bɔ́ɽɔ́,thread,thread,
