nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class,root,part_of_speech,comment
èmàɽðɛ́n,lɛ̀màɽðén,ìmàɽðɛ́ná,lɛ̀màɽðɛ́ná,woman,woman,k/,èmàɽðɛ́n,noun,
èd̪ɛ̀ɾɛ́,lə̀d̪ɛ̀ɾɛ́,èd̪èɾá,,girl,girl,k/n,èd̪ɛ̀ɾɛ́,noun,
ùt̪ùlú,lùt̪ùlú,ùt̪ùlú ùt̪ùlá,lùt̪ùlá,spider,spider,k/l,ùt̪ùlú,noun,
àðə̀ɲɛ́n,,àðə̀ɲɛ́nɛ́,,sun,sun,j,àðə̀ɲɛ́n,noun,
òɽùwɛ́l,lòtùwɛ́l,òɽùwɛ́lɛ́,ltùwɛ́lɛ́,monkey,monkey,k/l,òɽùwɛ́l,noun,
ìt̪ə̀ɾɔ́,lìt̪ə̀ɾɔ́,ìt̪rɛ́,lìt̪rɛ́,Tira person,Tira.person,k/l,ìt̪ə̀ɾɔ́,noun,
àɽàŋgár,nàɽàŋgár,,,bed,bed,j/n,àɽàŋgár,noun,
ìt̪ə̀lɔ́,nìt̪ə̀lɔ́,ìt̪ìlɔ́,nìt̪ìlɔ́,year,year,k/n,ìt̪ə̀lɔ́,noun,
lùɾìjɔ́,ŋùɾìjɔ́,,,cucumber,cucumber,l/ŋ,lùɾìjɔ́,noun,
ðə̀ŋgə̀lá,rə̀ŋgə̀lá,,,tongue,tongue,ð/r,ðə̀ŋgə̀lá,noun,
lùɽùvɔ́,ŋùɽùvɔ́,,,jujube fruit ,jujube.fruit,l/ŋ,lùɽùvɔ́,noun,
ŋʊ̀mbòɽó,ɲʊ̀mbòɽó,ŋʊ̀mbə́ɽó,ɲʊ̀mbə́ɽó,calf,calf,ŋ/ɲ,ŋʊ̀mbòɽó,noun,
àvɟìgɛ́,nàvɟìgɛ́,,,"mat, rug",mat/rug,j/n,àvɟìgɛ́,noun,
